,Provider_Id,HoldingCompanyName,DBAName,ProviderName,num_block
0,43424,Element Wireless,Element Wireless,Element Wireless,35
1,43426,City of Bellevue,Town of Bellevue,Emily Medinger,512
2,43428,Stayton Cooperative Telephone Company,Stayton Cooperative Telephone Company,Stayton Cooperative Telephone Company,21
3,43431,Broken Bow TV Cable,Broken Bow Cable,BROKEN BOW CABLE,668
4,43432,Canadian Valley Telephone Company,Canadian Valley Telephone Company,Canadian Valley Telephone Company,373
5,43434,Central Oklahoma Telephone Co.,Central Cellular LLC /dba COTC Connections,Central Cellular LLC/dba Cotc Connections,1536
6,43440,Tuttle Development Authority,Tuttle Development Authority,TUTTLE DEVELOPMENT AUTHORITY,62
7,43443,Digital Example LLC,"Digital Example, LLC","Digital Example, LLC",9
8,43444,Corridor Wireless,corridor,Joe Bustard,3800
9,43445,"NATCO Communications, Inc.",Northern Arkansas Telephone Company INC,Northern Arkansas Telephone Company Inc,1669
10,43446,Webformix Company,Webformix,Webformix Company,7782
11,43447,IguanaNet LLC,"IguanaNet, LLC",IguanaNet,96
12,43449,Killians Electronics LLC,Killians Electronics LLC,Killians Electronics LLC,4105
13,43450,Heart of Iowa Communications Cooperative,Heart of Iowa Ventures,Heart of Iowa Communications Cooperative,1418
14,43456,"NetsurfUSA, Inc.",NetSurfUSA,"NetsurfUSA, Inc.",7573
15,43458,North Carolina Wireless,North Carolina Wireless LLC,North Carolina Wireless,5430
16,43461,Clear Creek Mutual Telephone Company,Cleer Creek Communications,Clear Creek Mutual Telephone Company,173
17,43462,Grand Avenue Broadband,Grand Avenue Broadband,Grand Avenue Broadband,429
18,43464,West Liberty Telephone Company,Liberty Communications,West Liberty Telephone Company,898
19,43465,Venus Telephone Corporation,VenusTelephone,Venus Telephone Corporation,127
20,43467,Roller Network LLC,Roller Network,Roller Network LLC,446
21,43468,Georgia Highspeed Country Internet,"GA Highspeed Country Internet, LLC",Georgia Highspeed Country Internet,3953
22,43471,VDL Inc.,Global Telecom Brokers,VDL INC d/b/a Global Telecom Brokers,96
23,43472,"Town of Concord, Massachusetts",Concord Light Broadband,Concord Light Broadband,520
24,43474,South Central Rural Telephone Cooperative Corporation,SOUTH CENTRAL TELCOM,South Central Telephone Coop Inc,2525
25,43475,"D D & B, Inc.",PGTELCO INTERNET,Prairie Grove Telephone Company,2292
26,43477,"Irvine Community Television, Inc.",Irvine Community Television Inc,"Irvine Community Television, Inc",657
27,43480,COLI Inc.,COLI Inc,"COLI, Inc",8364
28,43481,South Central Rural Telephone Cooperative Corporation,SOUTH CENTRAL TELCOM,"South Central Telcom, LLC",634
29,43482,"Skyweb Networks, Inc.",Skyweb Networks Inc,"Skyweb Networks, INC",224
30,43483,Monon Telephone Company Inc.,Monon Telephone Company,Monon Telephone Company Inc.,480
31,43484,Adams CATV Inc.,ADAMSCATVINC,Adams CATV Inc.,31
32,43485,"Hiawatha Communications, Inc.",Hiawatha Telephone Company,Hiawatha Telephone Company,2417
33,43485,"Hiawatha Communications, Inc.",Midway Telephone Company,Hiawatha Telephone Company,523
34,43485,"Hiawatha Communications, Inc.",Ontonagon County Telephone Company,Hiawatha Telephone Company,801
35,43486,"KCL Enterprises, LLC","Dunnell Telephone Company, Inc.","Dunnell Telephone Company, Inc.",75
36,43488,"KCL Enterprises, LLC",THE NOVA TELEPHONE COMPANY,THE NOVA TELEPHONE COMPANY,136
37,43490,Phillips County Telephone Company,PC Telcom,Phillips County Telephone Company,1707
38,43491,Morristown Utility Commission,MUSFiberNET,Morristown Utility,2320
39,43494,Millry Corporation,Millry Telephone Company Inc.,"Millry Telephone Co., Inc.",1268
40,43496,Beaver Creek Cooperative Telephone Company,Beavercreek Cooperative Telephone Company,Beaver Creek Cooperative Telephone Company,292
41,43498,Verizon Communications Inc.,MCI,MCI Communications Corporation,44877
42,43499,"Seaport/CWB iTV-3 Holdco, LLC",i3 Broadband,"i3 Broadband, LLC",2231
43,43500,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,2401151
44,43501,Beaver Creek Cooperative Telephone Company,Beavercreek Cooperative Telephone Company,Beaver Creek Cooperative Telephone Company,40
45,43502,"Hargray Communications Group, Inc.",Bluffton Tel. Co. Inc.,"Hargray Telephone Co., Inc.",870
46,43502,"Hargray Communications Group, Inc.",Hargray Tel. Co. Inc.,"Hargray Telephone Co., Inc.",832
47,43502,"Hargray Communications Group, Inc.","Hargray, Inc.","Hargray Telephone Co., Inc.",118
48,43503,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,95
49,43505,The Hancock Telephone Company,The Hancock Telephone Company,Hancock Telephone Company,305
50,43507,Carolina Mountain/Country Cablevision,CAROLINA MOUNTAIN CABLE,"Carolina Mountain Cablevision, Inc.",332
51,43508,"Eastex Telephone Cooperative, Inc.",Eastex Net,"Eastex Telephone Cooperative, Inc.",6698
