,1,2,3,4,5
Technology,0.6524064171122995,0.7169811320754716,0.8701298701298701,0.5571428571428572,0.5528255528255528
Local Community,0.5401069518716578,0.4528301886792453,0.9512987012987013,0.25,0.19901719901719903
Experience,0.6310160427807486,0.5094339622641509,0.8409090909090909,0.37142857142857144,0.49385749385749383
Customer,0.37433155080213903,0.37735849056603776,0.8863636363636364,0.20714285714285716,0.06633906633906633
Affordable,0.32620320855614976,0.3584905660377358,0.8441558441558441,0.20714285714285716,0.06388206388206388
Products,0.48128342245989303,0.33962264150943394,0.7467532467532467,0.40714285714285714,0.3464373464373464
Municipal,0.37433155080213903,0.39622641509433965,0.6623376623376623,0.17142857142857143,0.1375921375921376
Non-profit,0.29411764705882354,0.24528301886792453,0.022727272727272728,0.2714285714285714,0.47911547911547914
Digital Divide,0.32085561497326204,0.3018867924528302,0.9415584415584416,0.10714285714285714,0.03194103194103194
Economic Impact,0.3422459893048128,0.33962264150943394,0.9707792207792207,0.14285714285714285,0.03194103194103194
