	CountyCode	lowincome	growth	vision	highincome	senior
0	01001	0	1	2	1	0
1	01003	3	2	0	4	0
2	01005	0	0	1	2	0
3	01007	0	1	0	1	0
4	01009	0	0	1	2	1
5	01011	0	0	1	0	0
6	01013	0	2	0	1	0
7	01015	0	3	1	3	0
8	01017	1	1	1	1	0
9	01019	0	0	1	2	1
10	01021	0	1	1	3	0
11	01023	1	0	0	1	1
12	01025	2	0	0	3	1
13	01027	0	0	0	1	0
14	01029	0	0	1	1	0
15	01031	0	2	0	2	1
16	01033	1	1	0	3	0
17	01035	0	0	0	3	0
18	01037	1	0	1	3	0
19	01039	0	1	0	2	1
20	01041	0	0	0	1	1
21	01043	0	1	1	2	1
22	01045	0	1	0	3	0
23	01047	3	1	0	2	0
24	01049	0	1	2	3	1
25	01051	1	1	1	2	0
26	01053	1	1	0	3	0
27	01055	0	2	2	3	2
28	01057	0	0	0	3	1
29	01059	1	0	0	3	0
30	01061	0	1	0	2	1
31	01063	0	0	0	1	0
32	01065	1	1	0	1	0
33	01067	0	0	0	3	0
34	01069	1	2	2	3	0
35	01071	1	1	1	2	0
36	01073	1	4	2	3	0
37	01075	0	0	0	3	0
38	01077	1	2	0	3	0
39	01079	0	0	0	2	0
40	01081	3	3	1	2	0
41	01083	1	1	1	3	0
42	01085	0	0	0	1	0
43	01087	0	0	0	2	0
44	01089	2	3	2	3	0
45	01091	2	0	0	3	0
46	01093	0	0	1	2	0
47	01095	0	1	2	3	0
48	01097	3	5	0	3	0
49	01099	0	0	0	2	0
50	01101	1	3	2	2	0
51	01103	1	3	2	3	0
52	01105	1	0	0	3	0
53	01107	0	0	0	4	0
54	01109	1	1	1	2	1
55	01111	0	0	0	3	0
56	01113	0	0	1	1	0
57	01115	0	1	1	3	1
58	01117	2	3	0	3	1
59	01119	0	0	0	1	0
60	01121	3	1	0	3	0
61	01123	1	1	0	3	0
62	01125	1	3	0	3	1
63	01127	1	0	0	1	1
64	01129	0	1	0	1	0
65	01131	1	0	0	2	0
66	01133	0	0	1	2	1
67	02013	0	0	0	1	0
68	02016	1	0	0	2	0
69	02020	0	1	0	6	1
70	02050	1	0	0	1	0
71	02060	0	0	0	1	0
72	02068	0	0	0	4	1
73	02070	0	0	0	2	0
74	02090	0	0	1	3	1
75	02100	0	0	0	1	1
76	02105	0	0	0	1	1
77	02110	0	0	0	2	0
78	02122	0	2	1	3	0
79	02130	0	0	0	3	0
80	02150	0	0	0	2	0
81	02164	0	0	0	1	0
82	02170	0	0	0	3	0
83	02180	0	0	0	2	0
84	02185	5	0	0	2	0
85	02188	0	0	0	2	0
86	02195	0	0	0	2	1
87	02198	0	0	0	2	1
88	02220	0	0	0	2	0
89	02230	0	0	0	0	1
90	02240	0	0	1	2	2
91	02261	0	0	0	3	0
92	02270	0	0	0	1	0
93	02275	0	0	0	1	1
94	02282	0	0	0	2	0
95	02290	1	0	0	4	0
96	04001	1	0	0	2	0
97	04003	1	2	1	4	3
98	04005	2	3	4	6	3
99	04007	1	0	1	4	1
100	04009	0	2	1	1	1
101	04011	0	0	0	1	1
102	04012	1	1	0	3	2
103	04013	3	12	3	9	6
104	04015	2	4	1	3	3
105	04017	0	2	0	3	1
106	04019	1	8	3	6	2
107	04021	0	2	3	7	2
108	04023	0	3	1	3	1
109	04025	2	4	2	4	4
110	04027	0	2	0	4	1
111	05001	1	0	0	2	1
112	05003	0	0	0	2	1
113	05005	1	0	0	2	2
114	05007	2	2	1	4	2
115	05009	1	0	0	2	1
116	05011	1	1	0	1	0
117	05013	1	0	0	1	0
118	05015	0	0	0	3	2
119	05017	1	0	0	1	0
120	05019	1	1	1	2	1
121	05021	3	0	0	1	0
122	05023	3	0	0	1	2
123	05025	1	0	0	0	0
124	05027	3	0	0	2	1
125	05029	1	0	0	1	1
126	05031	4	1	0	3	0
127	05033	1	0	0	3	1
128	05035	2	0	0	3	0
129	05037	1	0	0	2	0
130	05039	0	0	1	1	0
131	05041	2	0	0	1	0
132	05043	3	0	0	1	0
133	05045	3	1	1	4	1
134	05047	2	0	0	3	0
135	05049	1	0	1	1	0
136	05051	2	2	0	3	1
137	05053	3	0	0	2	0
138	05055	4	0	0	2	0
139	05057	6	1	0	3	0
140	05059	2	0	1	3	1
141	05061	4	0	0	3	0
142	05063	3	0	0	2	1
143	05065	1	0	0	2	0
144	05067	2	0	0	2	0
145	05069	3	0	0	4	0
146	05071	1	0	0	2	0
147	05073	4	0	0	2	0
148	05075	3	0	0	2	0
149	05077	2	0	0	1	0
150	05079	2	1	0	1	0
151	05081	3	0	0	1	0
152	05083	1	0	0	3	0
153	05085	3	0	0	3	1
154	05087	1	0	0	2	2
155	05089	1	0	0	2	1
156	05091	1	1	0	3	0
157	05093	3	1	0	3	0
158	05095	0	1	0	2	0
159	05097	1	0	0	1	1
160	05099	2	0	0	2	0
161	05101	0	0	0	1	1
162	05103	2	0	0	1	0
163	05105	1	0	0	0	1
164	05107	1	0	0	1	0
165	05109	0	0	0	1	1
166	05111	3	0	0	2	1
167	05113	1	0	0	1	1
168	05115	1	0	0	3	2
169	05117	2	0	0	1	0
170	05119	3	4	1	5	1
171	05121	2	0	0	2	0
172	05123	2	0	0	1	0
173	05125	2	0	1	3	1
174	05127	2	0	0	2	0
175	05129	0	0	0	1	3
176	05131	2	1	0	3	0
177	05133	2	0	0	1	0
178	05135	1	0	1	1	0
179	05137	1	0	0	2	2
180	05139	3	0	0	2	0
181	05141	1	0	0	1	2
182	05143	1	2	0	3	3
183	05145	3	1	1	3	1
184	05147	2	1	0	2	0
185	05149	2	0	0	1	0
186	06001	0	22	0	10	0
187	06003	0	0	0	3	1
188	06005	0	1	1	3	4
189	06007	0	5	2	5	0
190	06009	1	1	0	4	2
191	06011	1	1	2	4	0
192	06013	1	9	1	8	2
193	06015	0	2	0	2	1
194	06017	1	3	1	5	2
195	06019	4	10	1	6	1
196	06021	1	1	2	3	0
197	06023	1	3	0	5	4
198	06025	0	4	0	4	1
199	06027	1	2	1	4	0
200	06029	4	9	1	7	3
201	06031	2	3	1	5	0
202	06033	0	2	1	2	1
203	06035	0	1	2	2	2
204	06037	1	22	2	8	2
205	06039	2	3	2	3	1
206	06041	0	7	0	7	0
207	06043	2	2	1	1	2
208	06045	0	2	1	3	4
209	06047	3	3	0	5	1
210	06049	0	1	1	4	1
211	06051	1	2	1	3	0
212	06053	2	5	0	11	2
213	06055	0	6	1	5	0
214	06057	1	4	2	4	2
215	06059	0	15	0	8	0
216	06061	1	8	3	7	4
217	06063	0	2	1	3	2
218	06065	2	16	3	8	1
219	06067	1	11	3	8	3
220	06069	0	1	0	7	0
221	06071	1	15	3	7	2
222	06073	0	15	1	10	1
223	06075	0	15	1	6	1
224	06077	5	5	2	8	2
225	06079	0	7	0	8	1
226	06081	0	14	1	9	1
227	06083	0	9	0	7	1
228	06085	0	18	2	10	2
229	06087	1	7	2	8	1
230	06089	0	3	2	4	4
231	06091	0	1	1	0	0
232	06093	0	4	2	4	4
233	06095	0	8	2	8	1
234	06097	2	5	2	9	2
235	06099	4	5	0	6	3
236	06101	0	4	2	5	1
237	06103	0	4	2	4	2
238	06105	0	2	0	4	5
239	06107	3	7	1	6	1
240	06109	2	3	0	4	1
241	06111	0	14	0	7	0
242	06113	0	9	2	8	2
243	06115	0	2	2	3	2
244	08001	0	4	0	7	1
245	08003	0	0	2	3	3
246	08005	0	5	1	9	1
247	08007	0	0	3	4	0
248	08009	0	0	1	2	2
249	08011	0	0	1	2	2
250	08013	0	4	0	8	1
251	08014	0	3	1	6	0
252	08015	0	0	2	3	1
253	08017	0	0	0	1	2
254	08019	0	0	0	4	0
255	08021	0	0	1	1	1
256	08023	0	0	0	3	1
257	08025	0	0	0	2	1
258	08027	0	0	2	2	1
259	08029	0	0	0	2	2
260	08031	0	6	1	7	1
261	08033	0	0	1	1	0
262	08035	0	3	1	9	1
263	08037	0	0	3	3	0
264	08039	0	0	1	5	1
265	08041	0	4	1	8	5
266	08043	0	0	1	4	2
267	08045	0	0	1	4	0
268	08047	0	0	1	2	0
269	08049	0	0	1	5	0
270	08051	0	0	1	4	2
271	08053	0	0	0	1	0
272	08055	0	0	2	2	2
273	08057	0	0	0	1	0
274	08059	0	5	2	8	2
275	08061	0	0	0	1	3
276	08063	0	1	1	2	3
277	08065	0	0	1	1	0
278	08067	0	0	3	4	1
279	08069	0	3	1	7	1
280	08071	0	1	1	3	1
281	08073	0	0	0	2	3
282	08075	0	0	0	2	1
283	08077	0	0	1	5	1
284	08079	0	0	1	1	0
285	08081	0	0	3	3	1
286	08083	0	1	3	2	1
287	08085	0	1	0	3	2
288	08087	0	0	0	3	1
289	08089	0	0	1	2	1
290	08091	0	0	0	1	1
291	08093	0	0	2	4	3
292	08095	0	0	1	1	0
293	08097	0	0	0	4	0
294	08099	0	0	0	3	3
295	08101	0	3	1	5	2
296	08103	0	0	1	2	1
297	08105	0	0	1	1	3
298	08107	0	0	3	3	0
299	08109	0	1	2	3	2
300	08111	0	0	0	1	0
301	08113	0	0	2	1	0
302	08115	0	0	1	1	0
303	08117	0	0	1	4	0
304	08119	0	0	0	4	2
305	08121	0	0	0	2	0
306	08123	0	3	1	8	1
307	08125	0	0	1	2	1
308	09001	0	5	1	6	0
309	09003	0	6	1	7	0
310	09005	0	3	0	5	1
311	09007	0	2	0	5	0
312	09009	0	4	1	7	0
313	09011	0	2	0	7	0
314	09013	0	1	0	4	0
315	09015	0	1	0	5	0
316	10001	0	3	0	5	0
317	10003	0	3	0	4	0
318	10005	1	3	0	4	1
319	11001	0	15	0	6	1
320	12001	1	3	0	5	1
321	12003	0	0	0	3	0
322	12005	1	2	1	4	1
323	12007	0	0	1	3	0
324	12009	0	2	1	5	0
325	12011	0	8	0	5	1
326	12013	0	0	0	1	1
327	12015	0	1	1	5	0
328	12017	0	0	0	3	1
329	12019	0	3	1	3	0
330	12021	0	5	1	4	2
331	12023	0	1	0	4	0
332	12027	0	1	0	4	0
333	12029	0	0	0	1	0
334	12031	1	7	1	6	1
335	12033	3	3	0	6	0
336	12035	0	1	0	3	0
337	12037	0	0	0	2	1
338	12039	0	0	0	2	2
339	12041	0	0	0	1	0
340	12043	0	0	0	3	0
341	12045	0	0	0	2	1
342	12047	0	0	0	2	0
343	12049	0	1	0	3	0
344	12051	0	0	0	3	2
345	12053	0	3	0	4	1
346	12055	0	0	1	3	1
347	12057	1	8	2	5	3
348	12059	0	0	0	3	0
349	12061	1	2	1	4	0
350	12063	0	0	0	3	1
351	12065	0	0	0	2	1
352	12067	0	0	0	1	0
353	12069	0	2	1	7	1
354	12071	0	5	1	4	2
355	12073	2	3	0	5	2
356	12075	1	0	0	3	0
357	12077	0	0	0	1	1
358	12079	0	0	0	3	1
359	12081	0	4	0	6	1
360	12083	0	2	0	4	2
361	12085	1	2	2	4	0
362	12086	0	10	0	5	1
363	12087	0	1	0	3	0
364	12089	1	2	0	4	0
365	12091	1	5	0	4	1
366	12093	0	0	1	4	0
367	12095	2	8	1	6	2
368	12097	0	3	1	7	2
369	12099	1	7	1	5	1
370	12101	0	3	1	5	1
371	12103	0	4	1	4	0
372	12105	0	3	0	5	1
373	12107	0	1	0	3	0
374	12109	0	1	2	4	0
375	12111	0	3	2	4	0
376	12113	2	1	1	4	1
377	12115	1	4	0	7	2
378	12117	0	4	1	4	2
379	12119	0	0	0	4	2
380	12121	0	1	0	2	0
381	12123	0	0	0	3	1
382	12125	0	0	0	2	0
383	12127	1	4	1	6	2
384	12129	0	0	0	2	1
385	12131	1	4	1	4	1
386	12133	0	0	1	4	0
387	13001	1	0	0	3	0
388	13003	2	0	0	1	0
389	13005	2	0	0	1	0
390	13007	1	0	0	0	0
391	13009	2	2	0	3	0
392	13011	4	0	0	2	0
393	13013	0	1	0	3	0
394	13015	2	3	0	5	0
395	13017	1	0	0	1	0
396	13021	2	2	1	5	0
397	13023	3	0	0	0	0
398	13025	2	0	0	1	0
399	13027	1	0	0	2	0
400	13029	3	0	0	4	0
401	13031	2	1	0	5	0
402	13033	2	1	0	2	0
403	13035	2	0	0	3	0
404	13037	1	0	0	0	0
405	13039	2	0	0	2	2
406	13043	1	0	0	2	0
407	13045	1	3	0	3	0
408	13047	0	1	1	3	2
409	13049	1	0	0	2	0
410	13051	3	4	0	4	0
411	13053	0	1	1	2	0
412	13055	0	0	1	2	0
413	13057	0	4	0	6	1
414	13059	2	3	0	3	0
415	13063	2	7	0	4	0
416	13065	0	0	0	2	0
417	13067	2	6	1	6	0
418	13069	4	0	0	2	0
419	13071	2	0	0	2	0
420	13073	3	1	1	3	0
421	13075	1	0	0	2	0
422	13077	1	4	1	4	0
423	13079	1	0	0	2	0
424	13081	3	0	0	1	0
425	13083	0	0	1	1	0
426	13085	0	1	0	2	1
427	13087	2	1	0	0	2
428	13089	1	6	0	5	0
429	13091	5	0	0	1	0
430	13093	4	0	0	1	0
431	13095	2	1	0	3	0
432	13097	3	4	0	5	0
433	13099	1	0	0	0	0
434	13103	2	0	0	2	0
435	13105	3	0	0	2	0
436	13107	2	0	0	1	0
437	13109	1	0	0	2	0
438	13111	0	0	0	1	3
439	13113	2	2	1	4	0
440	13115	1	1	1	3	0
441	13117	1	5	0	5	0
442	13119	3	0	0	3	0
443	13121	2	11	1	7	0
444	13123	0	0	0	2	1
445	13125	1	0	0	1	0
446	13127	2	2	0	3	0
447	13129	1	1	0	3	0
448	13131	1	0	0	2	0
449	13133	2	0	0	2	0
450	13135	3	7	0	5	0
451	13137	2	1	0	2	1
452	13139	1	5	0	4	1
453	13141	0	0	0	1	0
454	13143	1	3	1	2	0
455	13145	2	0	1	1	0
456	13147	2	0	0	3	0
457	13151	3	5	0	4	0
458	13153	3	2	0	5	0
459	13157	2	2	0	3	0
