,FIPS,MHI_2018,giniIndex
1,01001,58786,0.4602
2,01003,55962,0.4609
3,01005,34186,0.4731
4,01007,45340,0.4294
5,01009,48695,0.4331
6,01011,32152,0.5174
7,01013,39109,0.4708
8,01015,45197,0.4676
9,01017,39872,0.4568
10,01019,41014,0.4539
11,01021,45182,0.4845
12,01023,34884,0.4809
13,01025,36127,0.5185
14,01027,41225,0.4684
15,01029,40188,0.4622
16,01031,53155,0.4427
17,01033,47558,0.4496
18,01035,33177,0.4354
19,01037,38301,0.4646
20,01039,40601,0.4553
21,01041,39812,0.504
22,01043,42558,0.4548
23,01045,45960,0.45
24,01047,31602,0.4885
25,01049,39233,0.4748
26,01051,59347,0.4359
27,01053,35000,0.4823
28,01055,44023,0.4483
29,01057,37458,0.4635
30,01059,40459,0.4224
31,01061,38142,0.4413
32,01063,21804,0.5041
33,01065,30571,0.5071
34,01067,48610,0.435
35,01069,45496,0.4808
36,01071,39816,0.4616
37,01073,51979,0.4996
38,01075,36756,0.4623
39,01077,46265,0.4672
40,01079,44515,0.4389
41,01081,48056,0.5081
42,01083,56460,0.4509
43,01085,30833,0.4999
44,01087,32074,0.5145
45,01089,63417,0.4673
46,01091,32809,0.5386
47,01093,35392,0.4596
48,01095,42490,0.4805
49,01097,46166,0.4765
50,01099,30141,0.5477
51,01101,47990,0.4929
52,01103,49751,0.4511
53,01105,23561,0.479
54,01107,37458,0.4997
55,01109,34678,0.5343
56,01111,41449,0.4733
57,01113,40978,0.454
58,01115,54887,0.4068
59,01117,75761,0.4344
60,01119,23132,0.5469
61,01121,41012,0.4584
62,01123,43361,0.4617
63,01125,52221,0.463
64,01127,41748,0.4587
65,01129,40794,0.4684
66,01131,27237,0.5108
67,01133,38504,0.4517
68,02013,69706,0.3987
69,02016,85517,0.3628
70,02020,83280,0.4251
71,02050,54212,0.4446
72,02060,84688,0.3911
73,02068,84196,0.3631
74,02070,58750,0.4285
75,02090,77095,0.4061
76,02100,64342,0.3796
77,02105,63603,0.3914
78,02110,88213,0.3947
79,02122,66684,0.4322
80,02130,70356,0.4161
81,02150,78281,0.3869
82,02158,35539,0.4305
83,02164,46406,0.4318
84,02170,75905,0.4171
85,02180,58987,0.4294
86,02185,75431,0.4156
87,02188,62949,0.4375
88,02195,66907,0.4388
89,02198,54191,0.4139
90,02220,71534,0.4222
91,02230,72237,0.3224
92,02240,71541,0.3858
93,02261,82306,0.4226
94,02275,57583,0.4071
95,02282,65833,0.3498
96,02290,40000,0.4666
97,04001,32963,0.495
98,04003,48649,0.4404
99,04005,57616,0.4654
100,04007,42092,0.4451
101,04009,51352,0.4049
102,04011,60962,0.3908
103,04012,33333,0.4663
104,04013,61606,0.4666
105,04015,43266,0.4451
106,04017,40054,0.4751
107,04019,51037,0.4713
108,04021,55550,0.4235
109,04023,40467,0.4933
110,04025,50180,0.4462
111,04027,44058,0.4462
112,05001,39466,0.4963
113,05003,39635,0.476
114,05005,41481,0.4539
115,05007,64141,0.4549
116,05009,43262,0.4451
117,05011,39510,0.4603
